mot_cle,bucket,nb_recherches,avg_results,notes
ritmo elektra light,multi_token,14,120,cas Elena ritmo
nez de cloison,multi_token,13,108,
machine de thermolaquage,multi_token,13,117,
cabine de peinture,multi_token,12,126,
borne de commande,multi_token,12,124,
netoyeur vapeur aspirateur,multi_token,12,100,faute orthographe
location climatiseur mobile,multi_token,12,120,
armoire eau glacee,multi_token,12,100,
portes de garage,multi_token,11,114,
couverture anti feu,multi_token,11,120,
chariots de manutention,multi_token,11,142,
chariot de manutention,multi_token,10,192,
pont elevateur 2t,multi_token,10,104,specification technique
cadre nez cloison,multi_token,10,120,
aire de lavage,multi_token,9,112,
sac a main femme,multi_token,9,102,B2C atypique
big bag amiante,multi_token,9,109,
logiciel de caisse,multi_token,8,118,
pompe a chaleur,multi_token,8,123,
boite aux lettres,multi_token,8,123,
robot de nettoyage,multi_token,8,152,
station de reparation,multi_token,8,120,
matelas isolant thermique,multi_token,8,120,
table de dessin industriel,multi_token,8,104,
cellule de refroidissement,multi_token,8,120,
filtre a sable,multi_token,8,157,
armoire medicale,audit_history,68,135,cas Elena resolu A4 IDF
soudure ritmo,audit_history,40,105,cas Elena resolu A4 IDF
urinoir delabie,audit_history,30,90,cas Elena resolu A8 R2
melangeur conique,audit_history,15,67,A4 IDF resolu
e-crane,audit_history,12,140,A6 synonyme resolu
lockers bagagerie,audit_history,12,110,A6 synonyme manual-casier
barre laser a led,audit_history,8,80,A7 R3 coverage resolu
defibrillateur,audit_history,15,180,
fraiseuse,audit_history,15,176,
perceuse colonne,audit_history,12,165,
s601p3,zero_result,8,0,ref produit obscure
mousse desinfectante pour vmc cmi,zero_result,7,0,produit niche
volet roulant pour toiture de veranda motuer sanfy,zero_result,7,0,faute orthographe
floteur separateur hydracabure,zero_result,6,0,faute orthographe
cage de parage,zero_result,6,0,produit agricole niche
balayeuse tp,zero_result,5,0,acronyme metier
trimmy evo safi,zero_result,5,0,marque inconnue
thorn,zero_result,5,0,marque inconnue
bouteille en plastique 330ml,zero_result,5,0,specification volume
machine concasser fruits secs,zero_result,4,0,
berce amovible nus,zero_result,4,0,
vitrine colonne noir,zero_result,4,0,
armoire 3 colonnes cycladis,zero_result,4,0,modele specifique
guide lame mkb752,zero_result,4,0,piece detachee
boites au lettres compactes interieur bois 18,zero_result,4,0,specification longue
pignon 6 dents betonniere,zero_result,4,0,piece detachee
bd450,zero_result,4,0,reference courte
armoire tockage apirateur,zero_result,4,0,faute orthographe
meuble en bois,zero_result,3,0,
unit portable dentaire,zero_result,3,0,specifique
ritmo elektra light bis,edge_case,3,0,test rituel sans synonyme
